Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Overturning,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,No priority to vehicle,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Moving Backward,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Owner,5-10yr,Y Shape,Earth roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Under 18,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Overspeed,2
18-30,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving under the influence of drugs,1
18-30,Owner,2-5yr,Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,Above 10yr,Unknown,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overspeed,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Darkness - no lighting,Snow,Collision with roadside objects,Going straight,Changing lane to the right,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,Above 10yr,No junction,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
Unknown,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
Under 18,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Snow,Vehicle with vehicle collision,Other,Driving carelessly,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Moving Backward,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,1
31-50,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Moving Backward,No distancing,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,No junction,Earth roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No priority to vehicle,2
18-30,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Other,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Overtaking,1
Unknown,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving under the influence of drugs,1
18-30,Owner,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Owner,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
Under 18,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Moving Backward,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Over 51,Owner,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,No distancing,2
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Turnover,Moving Backward,2
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to pedestrian,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
Over 51,Employee,No Licence,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to pedestrian,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Changing lane to the left,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Under 18,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,No distancing,2
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Getting off the vehicle improperly,Fatal injury
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Under 18,Owner,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
Over 51,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Moving Backward,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Driving under the influence of drugs,1
18-30,Employee,No Licence,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,2
Under 18,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving to the left,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
Under 18,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
31-50,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,No priority to pedestrian,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No distancing,2
Under 18,Employee,2-5yr,Other,Gravel roads,Daylight,Normal,Collision with pedestrians,U-Turn,No priority to vehicle,1
Under 18,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Getting off,Changing lane to the right,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads with some distress,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overspeed,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Other,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
Over 51,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,Fatal injury
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
31-50,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
Over 51,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Overtaking,2
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving to the left,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
Under 18,Employee,5-10yr,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Under 18,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Moving Backward,2
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Getting off the vehicle improperly,2
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Changing lane to the left,2
18-30,Employee,Below 1yr,Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,1
